food_code,food_description,method,method_description,nhanes,price_100gm
27560670,Sausage and cheese on English muffin (Includes McDonald's Sausage McMuffin),1,Links to FNDDS,Base,1.064393
27560705,"Sausage balls, made with biscuit mix and cheese",4,FNDDS recipe with replaced or modified SR codes,Base,0.834209
27560710,Sausage sandwich,4,FNDDS recipe with replaced or modified SR codes,Base,0.632788
27560910,"Cold cut sumarine sandwich, with cheese, lettuce, tomato and spread (Includes grinder; Subway Cold Cut Combo; Jerry's Italian Cold Cut Sub; Jerry's Italian Cold Cut Jr Sub; Subway Classic Italian BMT)",1,Links to FNDDS,Base,1.488148
27564000,"Frankfurter or hot dog sandwich, NFS, plain, on white bun (Includes bun, NFS)",4,FNDDS recipe with replaced or modified SR codes,Base,0.538337
27564001,"Frankfurter or hot dog sandwich, NFS, plain, on wheat bun",4,FNDDS recipe with replaced or modified SR codes,Base,0.575639
27564010,"Frankfurter or hot dog sandwich, NFS, plain, on white bread (Includes other bread such as potato, Italian, and rye)",4,FNDDS recipe with replaced or modified SR codes,Base,0.527737
27564020,"Frankfurter or hot dog sandwich, NFS, plain, on wheat bread",4,FNDDS recipe with replaced or modified SR codes,Base,0.532378
27564030,"Frankfurter or hot dog sandwich, NFS, plain, on whole wheat bread (Includes whole grain bread)",4,FNDDS recipe with replaced or modified SR codes,Base,0.558385
27564060,"Frankfurter or hot dog sandwich, beef, plain, on white bun (Includes bun, NFS)",4,FNDDS recipe with replaced or modified SR codes,Base,0.538337
27564061,"Frankfurter or hot dog sandwich, beef, plain, on wheat bun",4,FNDDS recipe with replaced or modified SR codes,Base,0.575639
27564062,"Frankfurter or hot dog sandwich, beef, plain, on whole wheat bun (Includes whole grain bun)",4,FNDDS recipe with replaced or modified SR codes,Base,0.608815
27564070,"Frankfurter or hot dog sandwich, beef, plain, on white bread (Includes other bread such as potato, Italian, and rye)",4,FNDDS recipe with replaced or modified SR codes,Base,0.527737
27564080,"Frankfurter or hot dog sandwich, beef, plain, on wheat bread",4,FNDDS recipe with replaced or modified SR codes,Base,0.532378
27564090,"Frankfurter or hot dog sandwich, beef, plain, on whole wheat bread (Includes whole grain bread)",4,FNDDS recipe with replaced or modified SR codes,Base,0.558385
27564120,"Frankfurter or hot dog sandwich, beef and pork, plain, on white bun (Includes bun, NFS)",4,FNDDS recipe with replaced or modified SR codes,Base,0.566671
